"game_name","possessed","wishlisted","image_url","duration","nb_min_player","nb_max_player","summary","tags_gameplay","tags_univers","rules","prix_philibert","prix_amazon","lien_philibert","lien_amazon","note_bgg","rules_pdf_url"
"Here to Slay","Non","Oui","","45 mn","2","6","Dans un univers fantasy peuplé de créatures adorables, vous assemblez une équipe de héros pour affronter des monstres redoutables. Utilisez des objets magiques, lancez des sorts et sabotez vos adversaires pour devenir le premier à éliminer trois monstres ou à réunir une équipe complète de six classes différentes.","Stratégie, Affrontement, Cartes, Compétitif, Gestion de main, Lancer de dés, Sabotage, Combo, Familial, Ambiance","Fantasy, Mignon, Héroïque, Animaux anthropomorphes, Humour","Crée une équipe de héros de différentes classes pour affronter des monstres ou compléter ton équipe.

Lance les dés pour activer des effets, poser des cartes ou vaincre les ennemis.

Sabote les autres joueurs avec des cartes de sabotage, sorts et pièges.","24,50 €","25,49 €","https://www.philibertnet.com/fr/teeturtle/115504-here-to-slay-3558380083634.html","https://www.amazon.fr/Asmodee-TeeTurtle-Here-Slay-strat%C3%A9gie/dp/B0BYF547C4/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=9N7K1L9IVWDA&dib=eyJ2IjoiMSJ9.RM3NB1iutprcHIbogSoc4CluXKgwXPajpRJy3Da98BlkiHKI60mINjonw7fpvyiFj6EZwt5_HXRYyqXyh5wxx3wnV_oGbU1kZM_j3ndCRtJvzFkTi7T5jdJj1B_ARy8vwcUlnAO1yNsPtjpnwKmXvetMhutT5ST3grjMo9NtKrHvPiFaGYYG2cySG6jFeKkmIG125_BGbmpuSMOUmYVFqz6HLk4gJj9G_4qj032M9HRs2_QqhX-V86qRTgIDN_yQKbhtotYGSaO2Jx_eIEZU1XrfpSB1Xtt3Vcb0TfON_Ek.0VLguX3mjVTiITcc_GHmnKik7CWGcsaDHYRNU6pj-Bg&dib_tag=se&keywords=here%2Bto%2Bslay&qid=1744479395&sprefix=here%2Bto%2Bslay%2Caps%2C82&sr=8-1&th=1","6,9",""
"Scythe","Non","Oui","","115 mn","1","5","Dans une Europe alternative des années 1920, ravagée par la guerre, cinq factions s'affrontent pour le contrôle de territoires et de ressources. Chaque joueur incarne une nation cherchant à étendre son influence en construisant des mechas, en recrutant des ouvriers et en développant son économie. Le jeu combine gestion de ressources, stratégie militaire et expansion territoriale.​","Stratégie, Contrôle de territoire, Gestion de ressources, Développement économique, Asymétrie des factions, Jeu expert, Solo possible","Uchronie, Dieselpunk, Post-guerre, Europe alternative, Mechas, Ambiance sérieuse","Gère des ressources, construis des bâtiments et déploie des mechas sur une carte uchronique.

Chaque faction a des capacités uniques, et tu optimises tes actions à chaque tour sans hasard de dés.

Gagne en puissance, en popularité et en contrôle territorial pour atteindre la victoire économique ou militaire.","82,95 €","78,87 €","https://www.philibertnet.com/fr/matagot/44944-scythe-vf-3760146640214.html","https://www.amazon.fr/Matagot-SCYTHE-Fran%C3%A7ais/dp/B071Z153XB/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2MDHKVR13AIWN&dib=eyJ2IjoiMSJ9.fs9OP52ZwZCc2MKZpudZJGyd2itqBlwBGtnYXmqBAP6WcYSPbo5aUGAvCm_vDm8tJwpOrfg80lq4v8-oJHk9ZrUrfOxBOKRzvDc7PtYo92NLbrltN3swR8EfCwfCtLPrN-hsN1ELyv07wZ04UVsxamfwpx-2u2UjwmmDd4D938puZLFw6lr0olFxKItngAXHGpC4XEDiw_Fw8lq43Ykop9CNgT7e7cPP-djHpev9nxpHDU0pR7ZgbhqF9deDqBQ7KOhfQjMuAIlpH4rr5ugcAurabpPTz6ne7_3CZbuI8Do.gk-MPKOAHnBxhlmc6o59XtKAxgJAtkRK9QQzcLdz06c&dib_tag=se&keywords=Scythe&qid=1744479528&sprefix=scythe%2Caps%2C99&sr=8-5","8,2",""
"Gloomhaven","Non","Oui","","60 mn","1","4","Dans un univers dark fantasy, vous incarnez des mercenaires explorant la ville de Havrenuit et ses environs. À travers une campagne de plus de 90 scénarios, vos choix influencent durablement l'histoire et l'évolution du monde. Le système de jeu repose sur des cartes d'action et une gestion stratégique des ressources.​","Coopératif, Stratégie, Jeu de rôle, Campagne évolutive, Gestion de main, Combat tactique, Exploration, Jeu expert","Dark fantasy, Mature, Immersif, Aventure, Ambiance sombre","Choisis 2 cartes par tour avec des effets différents en haut et en bas, pour te déplacer et attaquer.

Gère ton deck comme une ressource : quand il est vide, ton perso quitte le scénario.

Les scénarios forment une campagne, avec un monde qui évolue selon vos choix.","159,90 €","151,29 €","https://www.philibertnet.com/fr/cephalofair-games/80507-gloomhaven-aventures-a-havrenuit-3558380064022.html?search_query=Gloomhaven&results=54#img","https://www.amazon.fr/Cephalofair-Games-Gloomhaven-Aventures-Havrenuit/dp/B07ZL47469/ref=sr_1_1_sspa?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=22PWC01H6IFXW&dib=eyJ2IjoiMSJ9.hOX9wUGzqDuaAYW2zjWRQrNiLtjQyG_inTKNxx7Viz3S6eumGHS_y_w8AI43Js13v4kh_XDMHud3ibmUKyCeI1JzAPaTvikde88Cr6_gySYAlAofb1xjD03ufLNtm_tgampRxFG1qvfpqF2LW1qVqKzEl0efCt9zEehCk9v-oRExTqvktInodqbY_2oY7BFWOIad3P7p5O-aWyK_exc43tWY0hQh-17-SaqebXaIqhpHmHL9Fp2ZtPrXAea9T-AO9YV9TjVaRMApo2IZRdIEgBq7Y1hfKfhRybwpO0bbZbM.5Pnm4e0L5adTlE8YKuXN3Quvyfkvcw3JvvCvUPzH2sk&dib_tag=se&keywords=gloomhaven&qid=1744479675&sprefix=gloomhaven%2Caps%2C90&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1","8,6",""
"ISS Vanguard","Non","Oui","","120 mn","1","4","Dans un futur lointain, l'humanité lance l'ISS Vanguard, son premier vaisseau interstellaire, pour explorer les confins de la galaxie. En tant que membres d'équipage, vous dirigerez quatre sections distinctes (sécurité, reconnaissance, science et ingénierie) à travers une campagne narrative riche en découvertes, choix cruciaux et explorations planétaires.","Coopératif, Campagne évolutive, Exploration, Gestion de ressources, Lancer de dés, Narratif, Stratégie","Science-fiction, Exploration spatiale, Aventure, Ambiance sérieuse, Technologie avancée","Planifie des expéditions en assignant ton équipage à différentes missions spatiales.

Lance des dés selon les compétences de ta section pour explorer, interagir, ou survivre aux menaces.

Progresse dans une campagne narrative riche et immersive qui évolue avec vos décisions.","155,90 €","166,63 €","https://www.philibertnet.com/fr/awaken-realms/136502-iss-vanguard-5904689270387.html","https://www.amazon.fr/gp/product/B0BQ3TFLNG/ref=ewc_pr_img_1?smid=ATQZ2A1KZQ0X2&psc=1","8,5",""
"Maracaibo","Non","Oui","","60 mn","1","4","Dans les Caraïbes du XVIIe siècle, vous incarnez un navigateur ambitieux cherchant à accroître son influence auprès des grandes puissances coloniales. En naviguant de port en port, vous effectuerez des livraisons, engagerez des assistants et participerez à des combats pour gagner prestige et richesse. Le jeu propose également un mode campagne avec une histoire évolutive.​","Stratégie, Gestion de ressources, Contrôle de territoire, Deck-building, Jeu expert, Mode solo, Campagne évolutive","Historique, Exploration, Aventure maritime, Colonialisme, Caraïbes","Navigue autour des Caraïbes pour développer ta carrière militaire, commerçante ou exploratrice.

Joue des cartes pour développer ton moteur et débloquer des combos puissants.

Explore une histoire au fil d’une campagne avec choix narratifs et événements.","61,50 €","76,79 €","https://www.philibertnet.com/fr/super-meeple/84468-maracaibo-3665361035220.html","https://www.amazon.fr/gp/product/B0897YLYCJ/ref=ewc_pr_img_3?smid=A33QL91WAEC68S&psc=1","8",""
"Splendor","Non","Oui","","30 mn","2","4","Dans Splendor, vous incarnez un riche marchand de la Renaissance cherchant à acquérir des mines, des moyens de transport et des artisans pour accumuler des pierres précieuses. En collectant des jetons et en achetant des cartes de développement, vous augmentez votre prestige et attirez l'attention des nobles. Le premier joueur à atteindre 15 points de prestige déclenche la fin de la partie.","Stratégie, Gestion de ressources, Collection, Développement, Jeu compétitif, Familial, Initiation à la stratégie","Historique, Renaissance, Commerce, Élégant, Abstrait","À ton tour, récupère des jetons, réserve une carte ou achète une carte pour produire des gemmes.

Les cartes achetées réduisent le coût des suivantes et offrent des points de prestige.

Attire l’attention des nobles pour des points bonus si tu remplis leurs conditions.","31,50 €","34,15 €","https://www.philibertnet.com/fr/space-cowboys/27933-splendor-3558380020974.html?search_query=Splendor&results=18#img","https://www.amazon.fr/gp/product/B01F0N5V64/ref=ewc_pr_img_5?smid=A1H4IW0W2MHHDT&psc=1","7,4",""
"Root","Non","Oui","","80 mn","2","4","Dans Root, chaque joueur incarne une faction animale unique luttant pour le contrôle d'une vaste forêt. Chaque faction possède des objectifs, des capacités et des mécaniques de jeu distincts, offrant une expérience hautement asymétrique. Le jeu combine stratégie, contrôle de territoire et interactions dynamiques entre les joueurs.​","Stratégie, Asymétrique, Contrôle de territoire, Affrontement, Gestion de main, Jeu expert, Interaction forte","Fantasy, Animaux anthropomorphes, Forêt, Conflit, Ambiance féerique avec une touche sombre","Chaque joueur incarne une faction avec des règles et objectifs propres.

Gère tes actions pour contrôler la forêt, construire, combattre ou semer le chaos.

Asymétrie totale : chaque faction joue un jeu différent dans un même univers.","81,95 €","62,15 €","https://www.philibertnet.com/fr/matagot/74046-root-3760146645165.html?search_query=Root&results=71#img","https://www.amazon.fr/Leder-Games-Root-Board-English/dp/B07F454YF3/ref=sr_1_3?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2XFD53380RQD5&dib=eyJ2IjoiMSJ9.7lvV93UbuTz2Ak0z4AlIZoJ_WVCCWMWUQw60sUqYdNJeFevq60AamHzq82iXVm_bok61c1we4IXfM0wFq-uNl9Sgc3uN7V5VegsYW4Iba9i5bPVNo-67Ecc6dpomxx3uZG0So5O4kBlS7Mbypn5O2aHKaaQu6u5Qj-1w4sKqyIs2hAd29Jbdr6Uyz3qfb7hnknCxSOTm_m2lHuH4xYdEI4d5-wavMMRBhm8hAI2Agac4zF3XadssFkeUT1RXwEeUMyb_KXGYBZz8CMjRQXqwm7V-kZKVvmctiuKygMMu1Uc.R_ab9VcqD6LAFZGjjCHaW4yJPFK7qvCJS3AX8x87NdA&dib_tag=se&keywords=Root&qid=1744480387&s=toys&sprefix=root%2Ctoys%2C99&sr=1-3","8,1",""
"Catan","Non","Oui","","90 mn","3","4","Dans Catan, chaque joueur incarne un colon cherchant à développer ses colonies sur une île riche en ressources. En collectant et échangeant des ressources (bois, brique, blé, mouton, minerai), vous construisez des routes, des colonies et des villes pour accumuler des points de victoire. Le premier à atteindre 10 points remporte la partie","Stratégie, Gestion de ressources, Échange/Négociation, Placement de tuiles, Compétitif, Familial, Initiation à la stratégie","Historique, Colonisation, Île fictive, Ambiance conviviale, Abstrait","Lance les dés pour produire des ressources selon tes colonies.

Échange avec les autres joueurs ou la banque pour construire routes, colonies, villes.

Premier à 10 points de victoire gagne : routes longues, développement, chevaliers, etc.","39,95 €","40,56 €","https://www.philibertnet.com/fr/kosmos/10772-catane-3558380099673.html?search_query=Catan&results=55#img","https://www.amazon.fr/Asmodee-Strat%C3%A9gie-N%C3%A9gociation-Immersif-Fran%C3%A7aise/dp/B0B1F5Y5DP/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2VGCA8VBLBCIH&dib=eyJ2IjoiMSJ9.eyyYtjUpfg3xIS_6qCrFeL3vuyFFVzu3dogFKpWJHchzyTTX-Y1upwR9glvV5zvcMXgsvPw4FzIzYgZgltsL74Xs5olDKlIxqoKar9wuVpH4vv0ECWbl6a7avMGVwa1t-HsJQ-tMyN-_h9QwebPbALP2StU2l_3MPu8cMPGo6OBolVkWUlHbY-_KHcDtLgm79oLLf3b0wzUrMMRANaZRAJkKpnximgziWS9n4LSfPtAkKSW8SyFhLVYiFyCp4U8FRMXXTbd_sZC4D8MR59Tsh1UZyMwGq-sDBYtZc9YIcj8.jDy-3Pglu3D7qkuNqeCnv76OFWYrulybUOvl53YLyXc&dib_tag=se&keywords=Catan&qid=1744480533&s=toys&sprefix=catan%2Ctoys%2C83&sr=1-2&th=1","7,1",""
"Diplomacy","Non","Oui","","360 mn","2","7","Dans Diplomacy, chaque joueur incarne l'une des grandes puissances européennes au début du XXe siècle (France, Angleterre, Allemagne, Autriche-Hongrie, Italie, Russie ou Turquie). Le but est de dominer l'Europe en contrôlant un maximum de centres d'approvisionnement. Les joueurs planifient simultanément leurs mouvements et doivent négocier, former des alliances et parfois trahir pour atteindre leurs objectifs. Le jeu se distingue par l'absence de dés ou de cartes : tout repose sur la stratégie et la diplomatie.","Stratégie, Négociation, Trahison, Contrôle de territoire, Jeu de plateau, Sans hasard, Compétitif, Jeu expert","Historique, Europe pré-Première Guerre mondiale, Géopolitique, Militaire","Pas de hasard : planification simultanée des mouvements des troupes.

Négociation libre entre les joueurs avant chaque tour, alliances temporaires fréquentes.

Le bluff, la persuasion et la trahison sont tes armes principales.","NaN","46,41 €","","https://www.amazon.fr/Hasbro-Gaming-F3155-Gamming-Diplomacy/dp/B08YJNJRGV/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=G56S6H30Z6HG&dib=eyJ2IjoiMSJ9.ktxo9CjPr6XPkEi3HpiCO_uclyaO0_kTy6fvVawpWnWnJWmqhAMlfWEXPpSK_x-xAjoawa3sx1Rk1DNSKmi_nPp_B8v5-VNZoHTvPKroLdqCnnUtuLcuPteli9HgHsaxUIvvwhpFcQiydu0I0jwYSAm12EeYPhmGvE4mgopAMRFpVpxiaRq3u_qGBJ4Ze8Ly.BP3Dk03dK9NMBtrK8j08yaljqqAt_s1hLBIxxVfJ3qU&dib_tag=se&keywords=Diplomacy&qid=1744480660&s=toys&sprefix=diplomacy%2Ctoys%2C84&sr=1-1","7",""
"Carcassonne","Non","Oui","","40 mn","2","5","Dans Carcassonne, chaque joueur construit progressivement un paysage médiéval en posant des tuiles représentant des villes, routes, monastères et champs. En plaçant stratégiquement leurs partisans (les célèbres meeples), les joueurs cherchent à contrôler ces zones pour accumuler des points de victoire. Le jeu allie simplicité des règles et profondeur stratégique, offrant une rejouabilité importante grâce à la diversité des configurations possibles.","Placement de tuiles, Contrôle de territoire, Stratégie légère, Compétitif, Familial, Accessible aux débutants","Historique, Médiéval, Construction, Ambiance champêtre","Pioche une tuile et pose-la pour étendre villes, routes, champs ou monastères.

Pose un meeple pour revendiquer la zone en construction.

Score selon la taille des structures complètes ou incomplètes à la fin","31,50 €","29,89 €","https://www.philibertnet.com/fr/zman-games/10544-carcassonne-vf-3558380096337.html?search_query=carcassonne&results=116#img","https://www.amazon.fr/Asmodee-CARCASSONNE-Soci%C3%A9t%C3%A9-Construis-Fran%C3%A7ais/dp/B0B1F2872Z/ref=sr_1_4?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3ITUEW8OGA3JV&dib=eyJ2IjoiMSJ9.AJVDRbC1OI_zQ77-heA8NEI952EWMRRGehxTW6IJ2rSjnCPQIWSwTsQQs-kf6k5Gm4YcIdNpDnfd8dh87PQERdRzO4WJMNYHxecpUTsl89ZpU_ly8nLkzBLuKxSr_L3ZDSTpw76R_hXCEDemTrVMzFUeGvyhSGhp_n-pykAOheeiDC9eXsN41FqSuqw02Yol8Vy1nm1tg1hR7-mXwiP1fq67IEOQGr_evOiD-q-vQ7Gsl4Do9gtMuy_tbRfy2IxLHAtqOlcyZWQvKBVn6O8j_R5e2Z6VHY6kvCSU0KRTInQ.2PUTo-RC2Vl2RuKerHT8P5fuGT5j_Ke_nLI0F2H1tSU&dib_tag=se&keywords=Carcassonne&qid=1744480786&s=toys&sprefix=carcassonn%2Ctoys%2C88&sr=1-4&th=1","7,4",""
